id,keywords
11862,"[{'id': 1009, 'name': 'baby'}, {'id': 1599, 'name': 'midlife crisis'}, {'id': 2246, 'name': 'confidence'}, {'id': 4995, 'name': 'aging'}, {'id': 5600, 'name': 'daughter'}, {'id': 10707, 'name': 'mother daughter relationship'}, {'id': 13149, 'name': 'pregnancy'}, {'id': 33358, 'name': 'contraception'}, {'id': 170521, 'name': 'gynecologist'}]"
30304,"[{'id': 1668, 'name': 'hawaii'}, {'id': 2692, 'name': 'arranged marriage'}, {'id': 10428, 'name': 'cultural difference'}, {'id': 13014, 'name': 'orphan'}, {'id': 14669, 'name': 'older man younger woman relationship'}, {'id': 159362, 'name': 'black and white scene'}, {'id': 230009, 'name': 'asian american'}]"
278,"[{'id': 378, 'name': 'prison'}, {'id': 417, 'name': 'corruption'}, {'id': 796, 'name': 'police brutality'}, {'id': 2885, 'name': 'prison cell'}, {'id': 4779, 'name': 'delinquent'}, {'id': 8622, 'name': 'parole board'}, {'id': 9777, 'name': 'escape from prison'}, {'id': 12662, 'name': 'wrongful imprisonment'}, {'id': 180172, 'name': 'framed for murder'}, {'id': 207883, 'name': '1940s'}]"
41653,[]
11107,"[{'id': 242, 'name': 'new york'}, {'id': 1482, 'name': 'trainer'}, {'id': 2072, 'name': 'chauffeur'}, {'id': 2273, 'name': 'role of women'}, {'id': 6075, 'name': 'sport'}, {'id': 6496, 'name': 'basketball'}]"
121357,"[{'id': 5774, 'name': 'forest'}, {'id': 12999, 'name': 'black and white'}]"
22649,"[{'id': 131, 'name': 'italy'}, {'id': 428, 'name': 'nurse'}, {'id': 3452, 'name': 'love letter'}, {'id': 3776, 'name': 'officer'}, {'id': 10093, 'name': 'priest'}, {'id': 10685, 'name': 'escape'}, {'id': 11612, 'name': 'hospital'}, {'id': 12392, 'name': 'best friend'}, {'id': 156764, 'name': 'pre-code'}, {'id': 158547, 'name': 'air raid'}, {'id': 185034, 'name': 'ambulance driver'}, {'id': 185037, 'name': 'battle of the isonzo'}, {'id': 233360, 'name': 'air attack'}]"
11360,"[{'id': 291, 'name': 'circus'}, {'id': 456, 'name': 'mother'}, {'id': 1566, 'name': 'dream'}, {'id': 2161, 'name': 'mouse'}, {'id': 2857, 'name': 'elephant'}, {'id': 3030, 'name': 'nightmare'}, {'id': 3032, 'name': 'suffering'}, {'id': 3199, 'name': 'clown'}, {'id': 4075, 'name': 'ear'}, {'id': 4344, 'name': 'musical'}, {'id': 4639, 'name': 'crow'}, {'id': 5608, 'name': 'affection'}, {'id': 9207, 'name': 'storch'}, {'id': 10336, 'name': 'animation'}, {'id': 33429, 'name': 'big ears'}]"
31556,[]
85242,[]
49235,"[{'id': 10183, 'name': 'independent film'}]"
6283,"[{'id': 380, 'name': 'brother brother relationship'}, {'id': 1872, 'name': 'loss of father'}, {'id': 2161, 'name': 'mouse'}, {'id': 6095, 'name': 'house'}, {'id': 10911, 'name': 'inheritance'}]"
216794,"[{'id': 10391, 'name': 'mafia'}, {'id': 11578, 'name': 'mobster'}, {'id': 41523, 'name': 'brooklyn new york city'}]"
42807,"[{'id': 2492, 'name': 'bank robber'}, {'id': 177695, 'name': 'crime spree'}, {'id': 177703, 'name': 'western u.s.'}]"
12101,"[{'id': 2340, 'name': 'paranoia'}, {'id': 4565, 'name': 'dystopia'}, {'id': 5113, 'name': 'overpopulation'}, {'id': 40847, 'name': 'near future'}]"
859,"[{'id': 725, 'name': 'lovesickness'}, {'id': 738, 'name': 'sexuality'}, {'id': 1332, 'name': 'cheating'}, {'id': 2045, 'name': 'cynic'}, {'id': 2336, 'name': 'ladykiller'}, {'id': 2687, 'name': 'fiancé'}, {'id': 2692, 'name': 'arranged marriage'}, {'id': 2983, 'name': 'passion'}, {'id': 3182, 'name': 'seduction'}, {'id': 3452, 'name': 'love letter'}, {'id': 3925, 'name': 'boredom'}, {'id': 4315, 'name': 'courtly life'}, {'id': 4319, 'name': 'french revolution'}, {'id': 4320, 'name': 'lover'}, {'id': 4812, 'name': 'plan'}, {'id': 6049, 'name': 'praise'}, {'id': 34221, 'name': 'gender roles'}]"
19158,"[{'id': 158072, 'name': 'man eaten by monster'}]"
31930,[]
