movieId,imdbId,tmdbId
5,113041,11862
301,114129,30304
318,111161,278
656,116168,11107
976,22879,22649
1029,33563,11360
1152,40427,31556
1430,120414,85242
1713,119715,6283
1804,120769,42807
2009,70723,12101
2020,94947,859
2113,99697,19158
2219,21165,31930
2473,91991,12278
3120,104114,10411
3147,120689,497
3268,105477,9876
3307,21749,901
3522,67698,48211
3556,159097,1443
3838,110823,16139
3913,211219,15752
3922,57887,39113
4041,84434,2623
5248,86325,15120
5299,259446,8346
5981,55894,21143
6368,281724,51230
6564,325703,1996
6582,89901,10553
6857,107692,14282
6906,90151,64945
7034,150662,11634
7072,31971,995
7130,59084,24134
7285,328538,11023
7302,15400,28963
7373,167190,1487
8264,73076,17346
8642,368975,9893
27251,207275,110147
27646,324013,32526
32174,63035,22377
33660,352248,921
39234,395972,9701
48711,805526,18925
53996,418279,1858
57038,241663,60141
64990,1003116,40873
65642,480669,14139
79136,1101048,64861
81932,964517,45317
81949,1403988,41556
86059,1411704,50359
89837,1788391,74725
91483,1308729,70074
96490,431021,77883
102469,1684925,60270
110752,61988,42697
110871,2178256,168742
120635,2446042,260346
120805,1560169,26621
133771,3464902,254320
135518,2140379,238615
