adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,,0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",,71063,tt0114864,nl,De vliegende Hollander,"Late 16th century, persecuted protestantism and general dissatisfaction with the Catholic Habsburg rule in the Netherlands lead to large-scale plundering and vandalizing of churches, only harshening the Spanish Inquisition, sparkling the Eighty Years War.",0.07594,/bWt4Yv26JrA22rY1Y8yMIWz70bx.jpg,[],[],1995-05-11,0.0,140.0,"[{'iso_639_1': 'nl', 'name': 'Nederlands'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'it', 'name': 'Italiano'}]",Released,,The Flying Dutchman,False,9.0,1.0
False,,38000000,"[{'id': 35, 'name': 'Comedy'}, ",,6283,tt0119715,en,MouseHunt,,6.456233,/6GnKDTplmmHaqRWLv7LHpLSDOBC.jpg,"[{'name': 'DreamWorks', 'id': 7}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-12-19,122417389.0,0.0,"{'iso_639_1': 'en', 'name': 'English'}",Released,Who's hunting who?,MouseHunt,False,6.2,297.0
False,,0,"[{'id': 35, 'name': 'Comedy'}]",,38980,tt0088402,en,The Wild Life,"Eighties teen romp involving Bill and his new apartment, Jim and his rebellious antics, Tom and his crazy self, and Anita with her older man David.",7.093984,/psk04ZRqoLYnCABPanZon237ro4.jpg,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1984-09-28,9500000.0,96.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,It brings all your fantasies to life.,The Wild Life,False,6.4,15.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,244260,tt3125220,en,Little Accidents,"In a small American coal town living in the shadow of a recent mining accident, the disappearance of a teenage boy draws three people together—a surviving miner, the lonely wife of a mine executive, and a local boy—in a web of secrets.",2.725411,/gQ1YO5dvq5QKs70yja2tYuQDf9L.jpg,"[{'name': 'MindSmack Productions', 'id': 41639}, {'name': 'Archer Gray', 'id': 41640}, {'name': 'Maiden Voyage Pictures', 'id': 41641}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-01-16,0.0,105.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The truth is rarely pure and never simple.,Little Accidents,False,5.2,28.0
False,,25000000,"[{'id': 18, 'name': 'Drama'}]",http://www.thefightermovie.com,45317,tt0964517,en,The Fighter,"The Fighter, is a drama about boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer who rebounded in life after nearly being KO'd by drugs and crime.",14.141837,/ytGIpdxYyvXwch5QILfquSTMA9f.jpg,"[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-12-17,93617009.0,116.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Every dream deserves a fighting chance.,The Fighter,False,7.2,1512.0
False,,0,[],,108227,tt0113008,en,The Face on the Milk Carton,"Based on the book by Caroline B. Cooney, a girl happens to look down at a milk carton one day and she sees herself on the back! Could her parents really have kidnapped her?",1.286653,/9aME8a6vgdQ3aOCYYHGtgmnwt2h.jpg,[],[],1995.05.24,0.0,87.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,The Face on the Milk Carton,False,5.7,9.0
False,,0,"[{'id': 37, 'name': 'Western'}]",,93708,tt0072785,it,Cipolla Colt,"Onion Jack (Franco Nero) has bought a piece of land on which to settle, but the property is still in possession of the orphans of the original owner and is coveted by the local oil baron.",1.62344,/6X4gkSpOYW7fBXWtK53i7nfK7ed.jpg,"[{'name': 'Compagnia Cinematografica Champion', 'id': 10000}, {'name': 'CIPI Cinematografica S.A', 'id': 12276}]","[{'iso_3166_1': 'IT', 'name': 'Italy'}, {'iso_3166_1': 'ES', 'name': 'Spain'}, {'iso_3166_1': 'DE', 'name': 'Germany'}]",1975-08-25,39598448.0,0.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,"Cry, Onion!",False,3.8,6.0
False,"{'id': 47770, 'name': 'Phantasm Collection', 'poster_path': '/xqgAkKmQRrk0UaIbWMak4RRSQm7.jpg', 'backdrop_path': '/bu33EKctcBJvN5KHR780lWQkyJd.jpg'}",2500000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",http://phantasm.com,16139,tt0110823,en,Phantasm III: Lord of the Dead,"The Tall Man, that imposing menace from Morningside Mortuary, is back and once again haunting the thoughts of the now-adult Mike and his friend, ex-Ice Cream vendor Reggie. The two continue their hunt for the mysterious figure and in his path of destruction encounter a variety of dangerous situations, friends and enemies.",4.401721,/l8ccrv8XDD727vD3V3qntjrMoox.jpg,"[{'name': 'Starway International Inc.', 'id': 3146}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-05-06,0.0,91.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Phantasm III: Lord of the Dead,False,5.6,56.0
False,,0,"[{'id': 18, 'name': 'Drama'}]",,1720,tt0351461,is,Nói albínói,"17 year old Noi drifts through life on a remote fjord in Iceland. In winter, the fjord is cut off from the outside world, surrounded by ominous mountains and buried under a shroud of snow. Noi dreams of escaping from this white-walled prison with Iris, a city girl who works in a local gas staion. But his clumsy attempts at escape spiral out of control.",1.709303,/iQV5zJCKWqgctwgm6bKdbpbnL7H.jpg,[],"[{'iso_3166_1': 'IS', 'name': 'Iceland'}]",,0.0,90.0,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'is', 'name': 'Íslenska'}]",Released,,Noi the Albino,False,6.3,27.0
False,,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",,26447,tt0090564,en,3:15,,0.36671,/aaJsvr7AIUcIIJvtrraF9Re153Q.jpg,"[{'name': 'Romax', 'id': 4513}, {'name': 'Wescom', 'id': 4515}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1985-01-31,0.0,86.0,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,3:15,False,6.0,2.0
